Docno,DocStart,DocEnd
399,711130,712841
400,712842,714551
401,714552,716271
402,716272,717980
403,717981,719691
404,719692,721393
405,721394,723111
406,723112,724820
407,724821,726536
408,726537,728249
409,728250,729961
410,729962,731677
411,731678,733341
412,733342,735054
413,735055,736830
414,736831,738539
415,738540,740255
416,740256,742021
417,742022,743736
418,743737,745444
419,745445,747164
420,747165,748873
421,748874,750812
422,750813,752526
423,752527,754227
424,754228,755941
425,755942,757668
426,757669,759386
427,759387,761093
428,761094,762811
429,762812,764534
430,764535,766270
431,766271,767992
432,767993,769764
433,769765,771487
434,771488,773205
435,773206,774910
436,774911,776621
437,776622,778326
438,778327,780042
439,780043,781757
440,781758,783462
441,783463,785177
442,785178,786878
443,786879,788610
444,788611,790320
445,790321,792031
446,792032,793743
447,793744,795448
448,795449,797162
449,797163,798869
450,798870,800577
451,800578,802295
452,802296,804012
453,804013,805731
454,805732,807437
455,807438,809154
456,809155,810879
457,810880,812595
458,812596,814305
459,814306,816023
460,816024,817740
461,817741,819453
462,819454,821159
463,821160,822873
464,822874,824600
465,824601,826328
466,826329,828034
467,828035,829740
468,829741,831459
469,831460,833167
470,833168,834878
471,834879,836594
472,836595,838308
473,838309,840029
474,840030,841749
475,841750,843451
476,843452,845176
477,845177,847049
478,847050,848930
479,848931,850647
480,850648,852356
481,852357,854069
482,854070,855781
483,855782,857493
484,857494,859359
485,859360,861065
486,861066,862929
487,862930,864638
488,864639,866258
489,866259,867965
490,867966,869672
491,869673,871231
492,871232,872943
493,872944,874654
494,874655,876362
495,876363,878235
496,878236,880109
497,880110,881981
498,881982,883689
499,883690,885402
500,885403,887118
501,887119,888823
